ID,year,tamano,sales,age,foreign,export,workers,fomento,iyd,impuestos,utilidades
100045,2013,1,3.777724419,22,0,0,3.01911629,0,0,1.32E-06,0.001325456
100045,2015,1,3.598751944,24,0,0,2.954724791,0,1,0,-9.99E-05
100045,2017,1,3.763166132,26,0,0,3.057285644,0,1,0,0.000692126
100047,2007,1,5.586082927,28,0,0,3.636989102,0,1,0,0.031397463
100047,2009,1,8.442378564,44,0,0,3.407390904,0,0,-23.735304,-244.36976
100050,2007,1,4.145480796,29,0,0,1.959041392,1,1,9.55E-05,0.005291851
100050,2009,1,7.202783232,13,0,1,1.832508913,0,0,0.17779223,0.51561056
100050,2013,1,4.34599937,17,0,1,3.129367596,0,1,0.00019577,0.000563313
100050,2015,1,4.260478909,19,0,0,3.058426024,0,0,0.000164825,0.001199765
100051,2007,1,3.729656123,14,0,0,2.089905111,0,1,0.000311488,0.000266945
100051,2009,1,6.776979392,50,0,0,1.740362689,0,0,0.050005113,0.29017044
100051,2013,1,3.950276979,54,0,0,3.368472838,0,0,9.27E-05,0.000480018
100051,2015,1,4.044643109,56,0,0,3.494571984,0,1,0.000122323,0.000535687
100053,2007,1,4.843466717,62,0,1,2.948901761,0,0,0.000453751,0.015074641
100053,2009,1,8.041190371,64,0,1,2.834420704,1,1,0.45470856,2.2729215
100053,2013,1,4.93338347,53,0,1,4.01321654,0,1,0.000858255,0.003753814
100053,2015,1,4.933503186,55,0,1,3.955735842,0,1,0.00032438,0.002756285
100055,2007,1,4.356709724,65,0,0,2.432969291,0,0,0.000303485,0.001011053
100057,2009,1,6.640728726,20,0,0,1.86923172,0,0,0.1028032,0.5019215
100057,2015,1,3.565712895,26,0,0,2.974050903,0,0,5.20E-05,0.000179078
100061,2007,1,4.125701708,13,0,0,2.247973266,0,0,0.000226412,0.001259734
100061,2009,1,7.099194843,15,0,0,1.69019608,0,0,0.06589232,0.12407978
100061,2013,1,4.272354189,19,0,0,3.436480695,0,0,0.000777986,0.003108679
100061,2015,1,4.35077614,21,0,0,3.451172158,0,0,0.00099998,0.004999899
100061,2017,1,4.328665878,23,0,0,3.475380593,0,0,0.001062157,0.002365744
100062,2007,1,4.495019523,41,0,0,2.411619706,0,1,0.000101011,0.002221084
100062,2009,1,7.465840033,43,0,0,2.374748346,0,0,0,-0.46865181
100062,2013,1,4.178337287,20,0,0,2.552668216,0,0,0,0.000281045
100062,2015,1,4.038638121,37,0,0,3.357744325,0,0,0,0.000901476
100064,2007,1,4.468274041,20,1,1,1.041392685,0,1,0.000227218,0.001106312
100068,2007,1,3.943069565,40,0,1,2.045322979,1,0,0,-0.018850631
100070,2007,1,3.795180511,15,0,0,2.08278537,0,1,0.000129665,0.000773501
100072,2013,1,4.580437141,20,0,0,2.804139432,0,1,0.001950564,0.007802257
100073,2007,1,3.877622254,55,0,1,1.681241237,0,0,2.44E-05,-0.002429362
100073,2013,1,4.037735733,61,0,1,2.640481437,0,0,0.000278083,0.001166988
