Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26,2022-05-03,2022-05-10,2022-05-17,2022-05-24,2022-05-31,2022-06-07,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30,2022-09-06,2022-09-13,2022-09-20,2022-09-27
Antofagasta,2.0,Taltal,2104.0,13657.0,1.75,1.888888889,5,3.428571429,3.181818182,4.5,2.571428571,4,2.363636364,1.944444444,1.052631579,2.571428571,1.565217391,2.055555556,1.215686275,2.12244898,1.554216867,1.592592593,2.339622642,2.206896552,1.595744681,2.243243243,3.434782609,1.761904762,3.25,2.2,2.285714286,3.875,1.823529412,2.25,1,3.714285714,5.2,3.2,1.722222222,2.789473684,4.1,4.833333333,3.142857143,6,5,3.25,8,0.833333333,1.5,-,1,28,4.25,3.5,0.3333333333333333,2.5714285714285716,0.7142857142857143,2.4,7.5,1.75,4,9.181818181818182,6.181818181818182,4.6,2.2857142857142856,3.2857142857142856,3.2,3.6,4.3,2.8333333333333335,2.5833333333333335,1.6756756756756757,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Calama,2201.0,190336.0,2.316666667,2.914285714,1.7,3.142857143,2.55,2.772727273,2.066666667,3.19047619,2.911764706,3.172413793,3.15,3.205128205,3.35,3.121212121,2.24742268,2.976415094,2.702222222,2.786885246,2.515283843,2.280141844,2.221757322,2.307432432,2.443579767,2.264285714,2.601328904,2.562724014,2.124645892,2.19009901,2.692307692,2.749385749,2.894117647,3.246200608,3.545706371,3.47815534,3.473317865,3.582938389,3.785100287,3.742120344,4.096525097,4.004464286,4.38150289,5.397727273,4.775510204,4.571428571,3.621621622,5.583333333,2.619047619,6,6.777777778,5.222222222222222,4.470588235294118,5.923076923076923,7.2727272727272725,6.166666666666667,4.169811320754717,5.478260869565218,4.810526315789474,7.862068965517241,5.421383647798742,6.4033613445378155,5.567901234567901,5.0843373493975905,4.2,5.6,4.1,4.716216216216216,2.5120772946859904,1.2002567394094994,0.5362796833773087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Ollague,2202.0,287.0,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.5,-,-,0,0,-,-,0,-,-,-,0,2.6,0.3333333333333333,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,2,-,1.666666667,3,-,-,1,-,-,3,-,-,-,2.428571429,1.592592593,2.428571429,1.526315789,2,2.909090909,1.739130435,2.260869565,1.714285714,1.571428571,2.142857143,2.875,2.4,1.090909091,2.2,2.307692308,2.25,1.777777778,2.133333333,2.277777778,2.888888889,4.25,4.533333333,2.75,1.863636364,2.684210526,3.466666667,5.8,3.333333333,2.714285714,4.214285714,4.9,5.5,2,1,3.333333333,4.428571428571429,2.75,4,1.6666666666666667,-,6,2,0.6666666666666666,2.6,3.066666666666667,4.375,3,6.25,2.9,7.8,2.6,2.7142857142857144,4.428571428571429,0.9433962264150944,0.19101123595505617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Tocopilla,2301.0,28079.0,3.75,2,2,-,-,-,10.33333333,22,-,7,5.714285714,2.857142857,5.285714286,9,7.8,11.2,4.466666667,6.692307692,3.8,7.75,7.2,2.647058824,2.5,2.918367347,4,3.03030303,3.3,4,3.55,3.636363636,1.6,5,2.444444444,1.75,6.833333333,18,10.5,4.571428571,3.666666667,2.884615385,3.222222222,2.363636364,1.75,0.333333333,4.75,-,-,-,2,14,-,6,2.25,2.2,8.166666666666666,7.0625,7,2.4705882352941178,3.7083333333333335,3.217391304347826,2.111111111111111,1.7857142857142858,1.6,1.5,3.9,2.1818181818181817,2.2758620689655173,0.948,0.5424836601307189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Maria Elena,2302.0,6814.0,-,-,2.2,3,-,5,1,-,-,-,9,1.363636364,0.333333333,-,-,7,3.666666667,0.5,2,2.266666667,4.285714286,5.8,-,6,0.5,5.125,9,3.8,0.777777778,6.5,10,2.5,2.166666667,6,2,4.142857143,5.142857143,4.882352941,2.857142857,6.2,13,0.666666667,-,-,6,4,0,-,-,-,-,6,-,3,-,4,6,-,-,7.111111111111111,15.5,-,2.3,-,0,-,2.0833333333333335,1.2222222222222223,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,3.0,Copiapo,3101.0,171766.0,3.483333333,2.605633803,2.534883721,3.092105263,2.433962264,3.909090909,4.722222222,3.9,2.769230769,3.52,3.62962963,2.8125,3.755102041,3.519607843,3.328703704,2.925093633,2.795138889,2.757961783,2.972972973,2.864978903,3.253456221,2.734317343,2.832653061,2.625984252,2.689285714,2.995983936,2.925287356,2.34375,2.484245439,2.096618357,2.473317865,2.146443515,2.61247216,2.428571429,2.14254386,2.513126492,2.50877193,2.554166667,2.364508393,2.640804598,2.261111111,2.293103448,3.166666667,3.107142857,2.857142857,3.081081081,4.307692308,6.75,4.272727273,7.03125,6.696969696969697,6.767441860465116,6.230769230769231,6.620689655172414,5.803571428571429,7.453125,5.385321100917431,4.227642276422764,4.428571428571429,5.403726708074534,4.412621359223301,3.392857142857143,4.7,-,0,3.2457627118644066,3.977401129943503,2.7202072538860103,1.638728323699422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,3.0,Caldera,3102.0,19426.0,-,1.875,6,2,2.333333333,5.2,7,42,6,7,3.692307692,5.684210526,6.444444444,3.428571429,5.774193548,10.8,3.787878788,3.620689655,3.1875,3.357142857,5.772727273,4,3.541666667,2.97260274,2.740740741,2.304347826,2.317460317,2.984126984,3.918367347,2.515151515,2.4,4.818181818,5.285714286,2.963636364,3.739130435,4.790697674,2.723404255,3.509090909,3.368421053,1.468085106,3.448275862,4.222222222,3.105263158,5.5,3,7,7.454545455,6,4.4,3,10.5,4.642857142857143,7.571428571428571,5.2,7.111111111111111,6.916666666666667,7,10,5.964285714285714,4.17948717948718,4.357142857142857,1.8636363636363635,6.8,6.7,2.9,3.85,4.863636363636363,3.5555555555555554,1.3305084745762712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,3.0,Tierra Amarilla,3103.0,14312.0,1.7,2.923076923,1.777777778,4.166666667,2.75,3.666666667,4.166666667,4.4,2.75,9,3,3.75,7,8.428571429,2.75862069,2.184210526,2.56,2.056603774,2.085106383,3.324324324,2.451612903,3.130434783,2.636363636,3.652173913,4.3125,6.4375,3.575757576,2.183333333,2.660377358,2.466666667,2.181818182,2.409090909,2.733333333,2.80952381,1.90990991,2.455882353,2.476923077,3.941176471,2.393939394,3.2,3.304347826,2.5,2.083333333,1.8,9.6,-,4.5,15,14,9,6,10.333333333333334,9,9.333333333333334,4.7,3,2.7857142857142856,5.857142857142857,2.176470588235294,10,6.357142857142857,4.923076923076923,5.2,4.3,2,3,4.8,1.263157894736842,0.9026548672566371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,3.0,Chanaral,3201.0,13164.0,5,-,1.333333333,-,2,-,1,-,3.5,8,9,-,-,5.75,1.454545455,3.08,2.954545455,5.636363636,3.363636364,6,2.142857143,3.823529412,1.935483871,3.138888889,2.235294118,3.333333333,3.045454545,1.633333333,1.95,2,1.535714286,2.485714286,3.047619048,3.454545455,2.75,1.35,2.038461538,2.6,2.459459459,2.19047619,3,2.375,3.083333333,2.4,5.5,2,4.5,0.666666667,4,5.666666666666667,6.75,13,3.75,16,8,5.35,8.5,17.5,4.142857142857143,5.5,4.384615384615385,7.222222222222222,6.8,-,0,8.31578947368421,9.1875,4.131578947368421,1.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
