sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work
1,107,2.04,1,1,1,2,2,2,2,2,4,2,2,3,4,3,3,2,1,5,4,0
0,107,.16,1,1,1,3,3,3,3,4,1,4,3,1,1,1,1,3,0,7,0,-1
1,107,-1.52,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,8,10,1
0,107,2.1600001,0,1,1,2,1,1,3,2,5,2,1,3,3,3,1,3,1,16,17,1
1,107,-.029999999,1,1,3,4,1,1,3,4,3,2,1,3,2,5,2,2,1,3,5,1
0,107,1.05,1,1,1,2,1,1,3,1,3,2,3,2,1,3,1,3,1,5,5,1
1,107,4.1599998,0,0,1,1,1,1,1,1,1,4,1,3,1,4,5,2,1,9,10,-1
0,107,1.9299999,1,1,1,4,1,1,2,1,3,4,1,3,1,1,1,5,1,7,8,1
1,107,.55000001,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,12,-1
0,106,1.62,1,1,1,3,2,1,3,4,4,3,1,3,3,1,1,1,1,3,5,-1
0,106,3.22,1,1,1,1,1,1,3,4,1,5,2,3,2,1,2,1,1,13,7,1
0,106,.40000001,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,13,13,-1
1,106,-.25,1,0,1,1,1,1,1,1,1,1,2,2,1,1,2,3,0,,13,-1
0,106,3.1700001,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,1,9,13,-1
0,106,.80000001,1,1,2,2,2,2,2,3,3,2,3,3,2,2,3,3,1,9,9,-1
1,107,2.7,1,1,1,3,1,2,2,3,1,3,1,4,1,1,5,3,1,13,2,-1
0,106,3.2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,12,12,1
1,105,.58999997,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,11,9,0
0,105,-.60000002,1,1,1,3,3,3,2,4,3,4,5,3,5,5,2,1,1,13,13,1
1,107,.94,1,1,1,1,2,1,3,3,5,3,2,3,2,1,3,1,1,9,13,-1
1,107,-.31,1,1,1,2,1,1,2,1,3,1,1,5,2,4,2,2,1,10,10,-1
1,106,.91000003,1,1,1,1,1,1,1,1,1,1,4,2,3,2,2,2,1,22,13,1
1,106,-.02,0,1,1,1,1,1,3,3,1,3,1,1,1,1,3,3,1,12,13,1
1,106,.23,1,0,1,1,2,2,2,3,3,2,1,3,2,2,2,3,1,,9,-1
1,105,.17,1,1,1,1,2,2,1,1,3,1,1,1,2,1,1,3,1,9,9,-1
0,107,1.64,1,1,1,1,1,1,1,1,5,1,2,2,2,4,4,1,1,5,12,0
0,107,1.41,0,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,1,15,8,1
0,106,2.6600001,0,1,1,2,1,1,2,2,3,2,1,4,2,3,4,,1,13,11,0
0,105,-.0099999998,0,1,1,3,1,1,3,3,2,3,3,3,3,1,2,2,1,4,8,1
0,106,.33000001,1,1,1,1,1,1,1,2,2,3,2,3,2,2,1,3,1,12,13,-1
1,106,2.1600001,1,1,1,2,2,3,2,2,4,1,3,3,2,2,3,3,1,8,8,-1
1,106,2.1500001,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,8,9,-1
1,106,2.1099999,1,1,2,3,1,4,2,3,5,3,3,3,3,3,3,1,1,8,7,1
0,105,.38999999,0,1,1,3,4,3,3,3,1,3,1,1,1,1,1,3,1,9,13,1
1,105,2.0699999,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,9,9,-1
1,106,.23999999,1,1,1,1,1,1,1,1,3,1,2,3,2,2,3,3,1,11,16,-1
0,105,2.4100001,0,1,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,12,20,1
1,106,-1.35,1,1,5,2,1,1,2,2,1,4,1,3,1,5,3,2,0,5,3,1
1,105,1.14,1,1,1,1,2,1,1,1,3,1,1,4,2,1,1,4,1,6,11,-1
0,107,1.34,1,1,2,2,2,3,1,1,1,1,3,3,3,3,4,3,1,3,4,-1
1,107,.95999998,1,1,1,1,2,2,1,1,3,1,1,3,2,1,3,1,1,17,17,1
1,107,3.96,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,13,13,0
1,105,.38999999,1,0,1,1,1,1,1,1,4,1,1,2,1,1,1,3,1,,13,-1
1,107,1.45,1,1,1,1,1,1,1,1,1,3,3,4,3,3,3,1,1,13,13,0
0,106,2.26,1,0,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,10,13,1
0,105,-3.3,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,8,12,-1
1,107,-.47,1,1,1,1,1,1,1,1,2,2,2,4,1,2,3,5,1,15,13,0
1,105,.63999999,1,0,2,2,1,1,1,2,2,2,2,4,2,3,4,2,1,13,13,-1
1,106,1.49,1,1,2,2,1,1,1,2,4,2,2,3,3,2,3,3,1,11,0,1
