region,semana,paso,nom_comuna,comuna,fecha_inicio,fecha_termino,var_salidas,var_salidas_cota_inferior,var_salidas_cota_superior
14,92,3.0,PAILLACO,14107,2021-10-04,2021-10-08,0.91788680117627,0.91788680117627,0.91788680117627
14,93,3.0,PAILLACO,14107,2021-10-11,2021-10-15,0.8920533856349737,0.8920533856349737,0.8920533856349737
14,94,4.0,PAILLACO,14107,2021-10-18,2021-10-22,0.8689743355152723,0.8689743355152723,0.8689743355152723
14,95,4.0,PAILLACO,14107,2021-10-25,2021-10-29,0.8993976005469048,0.8993976005469048,0.8993976005469048
14,96,4.0,PAILLACO,14107,2021-11-01,2021-11-05,0.8923029991718788,0.8923029991718788,0.8923029991718788
14,97,4.0,PAILLACO,14107,2021-11-08,2021-11-12,0.9225227088584405,0.9225227088584405,0.9225227088584405
14,98,4.0,PAILLACO,14107,2021-11-15,2021-11-19,0.9037789995876676,0.9037789995876676,0.9037789995876676
14,99,4.0,PAILLACO,14107,2021-11-22,2021-11-26,0.8930332681031073,0.8930332681031073,0.8930332681031073
14,100,3.0,PAILLACO,14107,2021-11-29,2021-12-03,0.951009768503432,0.951009768503432,0.951009768503432
14,101,3.0,PAILLACO,14107,2021-12-06,2021-12-10,0.9332405294934654,0.9332405294934654,0.9332405294934654
14,102,3.0,PAILLACO,14107,2021-12-13,2021-12-17,0.9322585281100974,0.9322585281100974,0.9322585281100974
14,103,3.0,PAILLACO,14107,2021-12-20,2021-12-24,0.9366469790074352,0.9366469790074352,0.9366469790074352
14,104,3.0,PAILLACO,14107,2021-12-27,2021-12-31,0.8777861676102838,0.8777861676102838,0.8777861676102838
14,105,,PAILLACO,14107,2022-01-03,2022-01-07,0.9571525390856982,0.9571525390856982,0.9571525390856982
14,106,3.0,PAILLACO,14107,2022-01-10,2022-01-14,0.94993876803026,0.94993876803026,0.94993876803026
14,107,3.0,PAILLACO,14107,2022-01-17,2022-01-21,0.9324355816220452,0.9324355816220452,0.9324355816220452
14,108,4.0,PAILLACO,14107,2022-01-24,2022-01-28,0.9199317790980116,0.9199317790980116,0.9199317790980116
14,109,4.0,PAILLACO,14107,2022-01-31,2022-02-04,0.9606906879442411,0.9606906879442411,0.9606906879442411
14,110,3.0,PAILLACO,14107,2022-02-07,2022-02-11,0.9184379660108408,0.9184379660108408,0.9184379660108408
14,111,3.0,PAILLACO,14107,2022-02-14,2022-02-18,0.9326999850222508,0.9326999850222508,0.9326999850222508
14,112,3.0,PAILLACO,14107,2022-02-21,2022-02-25,0.92040113765939,0.92040113765939,0.92040113765939
14,113,2.0,PAILLACO,14107,2022-02-28,2022-03-04,0.95344642913476,0.95344642913476,0.95344642913476
14,114,2.0,PAILLACO,14107,2022-03-07,2022-03-11,1.0437703825103841,1.0437703825103841,1.0437703825103841
14,115,2.0,PAILLACO,14107,2022-03-14,2022-03-18,1.0198759819213896,1.0198759819213896,1.0198759819213896
14,116,3.0,PAILLACO,14107,2022-03-21,2022-03-25,0.9987347132512894,0.9987347132512894,0.9987347132512894
14,117,3.0,PAILLACO,14107,2022-03-28,2022-04-01,1.0866450828012644,1.0866450828012644,1.0866450828012644
14,118,,PAILLACO,14107,2022-04-04,2022-04-08,0.9602017523357612,0.5977929402617588,1.322610564409764
14,119,,PAILLACO,14107,2022-04-11,2022-04-15,0.9552585262025038,0.7260600238503181,1.1844570285546896
14,120,,PAILLACO,14107,2022-04-18,2022-04-22,0.9692123467165564,0.7258763390678626,1.21254835436525
14,121,,PAILLACO,14107,2022-04-25,2022-04-29,0.9448735280732088,0.7055516178891803,1.1841954382572373
14,122,,PAILLACO,14107,2022-05-02,2022-05-06,1.1142571752356505,0.9936060937356336,1.2349082567356673
14,123,,PAILLACO,14107,2022-05-09,2022-05-13,1.0729741922050289,1.0548374159671192,1.0911109684429383
14,124,,PAILLACO,14107,2022-05-16,2022-05-20,0.9938537285190638,0.9938537285190638,0.9938537285190638
14,125,,PAILLACO,14107,2022-05-23,2022-05-27,0.9808376805798644,0.9808376805798644,0.9808376805798644
14,126,,PAILLACO,14107,2022-05-30,2022-06-03,1.0466005162228311,1.0466005162228311,1.0466005162228311
14,127,,PAILLACO,14107,2022-06-06,2022-06-10,1.0120387129774338,1.0120387129774338,1.0120387129774338
14,128,,PAILLACO,14107,2022-06-13,2022-06-17,1.0119083760437797,1.0119083760437797,1.0119083760437797
14,129,,PAILLACO,14107,2022-06-20,2022-06-24,0.9422605893133352,0.9422605893133352,0.9422605893133352
14,130,,PAILLACO,14107,2022-06-27,2022-07-01,0.945494298447254,0.945494298447254,0.945494298447254
14,131,,PAILLACO,14107,2022-07-04,2022-07-08,0.9230871220056068,0.9230871220056068,0.9230871220056068
14,132,,PAILLACO,14107,2022-07-11,2022-07-15,0.9389696405919724,0.9389696405919724,0.9389696405919724
14,9,0.0,PANGUIPULLI,14108,2020-03-02,2020-03-06,0.991478034328366,0.991478034328366,0.991478034328366
14,10,0.0,PANGUIPULLI,14108,2020-03-09,2020-03-13,1.0047230978060315,1.0009242299404293,1.008521965671634
14,11,0.0,PANGUIPULLI,14108,2020-03-16,2020-03-20,0.7782771682809217,0.7772226462383102,0.7793316903235333
14,12,0.0,PANGUIPULLI,14108,2020-03-23,2020-03-27,0.6583428776864929,0.6435077724170687,0.6731779829559172
14,13,0.0,PANGUIPULLI,14108,2020-03-30,2020-04-03,0.6723895881680132,0.6546572681052976,0.6901219082307288
14,14,0.0,PANGUIPULLI,14108,2020-04-06,2020-04-10,0.6594933007902097,0.6400087285574635,0.6789778730229559
14,15,0.0,PANGUIPULLI,14108,2020-04-13,2020-04-17,0.6577977322859351,0.6225530464781988,0.6930424180936714
14,16,0.0,PANGUIPULLI,14108,2020-04-20,2020-04-24,0.6706612149364968,0.6397121994168202,0.7016102304561732
14,17,0.0,PANGUIPULLI,14108,2020-04-27,2020-05-01,0.7041244053724567,0.6732199923096346,0.7350288184352787
14,18,0.0,PANGUIPULLI,14108,2020-05-04,2020-05-08,0.7013191253250299,0.6711047511063729,0.7315334995436871
14,19,0.0,PANGUIPULLI,14108,2020-05-11,2020-05-15,0.6710506037273104,0.6432705491045531,0.6988306583500679
14,20,0.0,PANGUIPULLI,14108,2020-05-18,2020-05-22,0.6501243189066792,0.623205410587615,0.6770432272257435
14,21,0.0,PANGUIPULLI,14108,2020-05-25,2020-05-29,0.6836015207025766,0.6337025421664274,0.7335004992387258
14,22,0.0,PANGUIPULLI,14108,2020-06-01,2020-06-05,0.65888253238261,0.6318047556663035,0.6859603090989166
14,23,0.0,PANGUIPULLI,14108,2020-06-08,2020-06-12,0.6416953088520354,0.6174132080403621,0.6659774096637087
