region,idc,puntaje,nem,ingreso2,vacantes,ingreso,year,stem,area
7,11900,539,504,25,50,83,2019,0,Art/Humanities
11,14598,,,,35,148,2019,0,Art/Humanities
10,4664,579,572,40,45,210,2019,0,Art/Humanities
7,4673,588,573,129,128,730,2019,0,Art/Humanities
7,10457,647,633,46,40,201,2019,0,Art/Humanities
7,33726,554,547,22,90,24,2019,0,Art/Humanities
10,8842,529,524,77,90,331,2019,0,Art/Humanities
14,8846,566,552,21,40,166,2019,0,Art/Humanities
7,15477,547,540,41,65,216,2019,0,Art/Humanities
12,5650,519,568,58,50,217,2019,0,Art/Humanities
9,41023,530,557,30,35,36,2019,0,Art/Humanities
7,28873,547,556,6,8,7,2019,0,Art/Humanities
7,39226,657,660,4,5,20,2019,0,Art/Humanities
7,1003,,,,,12,2019,0,Art/Humanities
7,42722,,,,,4,2019,0,Art/Humanities
7,1015,624,590,8,16,61,2019,0,Art/Humanities
7,24779,666,668,9,12,58,2019,0,Art/Humanities
7,27945,,,,,5,2019,0,Art/Humanities
6,2636,500,519,42,70,205,2019,0,Art/Humanities
6,14944,517,518,21,30,62,2019,0,Art/Humanities
5,22221,,,,,1,2019,0,Art/Humanities
10,11889,535,514,,20,49,2019,0,Art/Humanities
10,13484,553,530,,45,193,2019,0,Art/Humanities
10,3946,490,478,,10,21,2019,0,Art/Humanities
7,4313,,,,,3,2019,0,Art/Humanities
12,34327,572,580,67,40,209,2019,0,Art/Humanities
12,8840,531,512,44,25,151,2019,0,Art/Humanities
12,16491,556,542,17,20,56,2019,0,Art/Humanities
12,16483,543,520,11,20,66,2019,0,Art/Humanities
7,3202,570,559,120,100,554,2019,0,Art/Humanities
7,10344,,,,,16,2019,0,Art/Humanities
7,3207,515,482,29,65,229,2019,0,Art/Humanities
14,41017,538,518,30,40,71,2019,0,Art/Humanities
14,18280,,,,,80,2019,0,Art/Humanities
7,3982,,,,8,10,2019,0,Art/Humanities
7,8861,554,521,97,130,207,2019,0,Art/Humanities
7,3993,585,509,14,20,50,2019,0,Art/Humanities
