Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,31208.0
Arica y Parinacota,15,Camarones,15102,1233.0,73.0
Arica y Parinacota,15,General Lagos,15202,810.0,88.0
Arica y Parinacota,15,Putre,15201,2515.0,216.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,211.0
Tarapacá,1,Alto Hospicio,1107,129999.0,16362.0
Tarapacá,1,Camina,1402,1375.0,232.0
Tarapacá,1,Colchane,1403,1583.0,179.0
Tarapacá,1,Huara,1404,3000.0,483.0
Tarapacá,1,Iquique,1101,223463.0,31036.0
Tarapacá,1,Pica,1405,5958.0,1042.0
Tarapacá,1,Pozo Almonte,1401,17395.0,2436.0
Tarapacá,1,Desconocido Tarapaca,,,890.0
Antofagasta,2,Antofagasta,2101,425725.0,41652.0
Antofagasta,2,Calama,2201,190336.0,19150.0
Antofagasta,2,Maria Elena,2302,6814.0,721.0
Antofagasta,2,Mejillones,2102,14776.0,2028.0
Antofagasta,2,Ollague,2202,287.0,43.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,1193.0
Antofagasta,2,Sierra Gorda,2103,1746.0,173.0
Antofagasta,2,Taltal,2104,13657.0,1020.0
Antofagasta,2,Tocopilla,2301,28079.0,2522.0
Antofagasta,2,Desconocido Antofagasta,,,718.0
Atacama,3,Alto del Carmen,3302,5729.0,282.0
Atacama,3,Caldera,3102,19426.0,1807.0
Atacama,3,Chanaral,3201,13164.0,1103.0
Atacama,3,Copiapo,3101,171766.0,16776.0
Atacama,3,Diego de Almagro,3202,14358.0,1390.0
Atacama,3,Freirina,3303,7681.0,688.0
Atacama,3,Huasco,3304,11264.0,867.0
Atacama,3,Tierra Amarilla,3103,14312.0,1534.0
Atacama,3,Vallenar,3301,57009.0,5318.0
Atacama,3,Desconocido Atacama,,,92.0
Coquimbo,4,Andacollo,4103,11791.0,629.0
Coquimbo,4,Canela,4202,9546.0,501.0
Coquimbo,4,Combarbala,4302,13884.0,873.0
Coquimbo,4,Coquimbo,4102,256735.0,17952.0
Coquimbo,4,Illapel,4201,32801.0,2531.0
Coquimbo,4,La Higuera,4104,4450.0,397.0
Coquimbo,4,La Serena,4101,249656.0,17788.0
Coquimbo,4,Los Vilos,4203,23374.0,1983.0
Coquimbo,4,Monte Patria,4303,32527.0,2061.0
Coquimbo,4,Ovalle,4301,121269.0,9721.0
Coquimbo,4,Paiguano,4105,4675.0,363.0
Coquimbo,4,Punitaqui,4304,12165.0,1007.0
Coquimbo,4,Rio Hurtado,4305,4372.0,238.0
Coquimbo,4,Salamanca,4204,29110.0,1947.0
Coquimbo,4,Vicuna,4106,29741.0,2119.0
Coquimbo,4,Desconocido Coquimbo,,,261.0
Valparaíso,5,Algarrobo,5602,15174.0,1313.0
Valparaíso,5,Cabildo,5402,20663.0,1599.0
Valparaíso,5,Calera,5502,53591.0,5272.0
Valparaíso,5,Calle Larga,5302,16482.0,1370.0
Valparaíso,5,Cartagena,5603,25357.0,2688.0
Valparaíso,5,Casablanca,5102,29170.0,2415.0
Valparaíso,5,Catemu,5702,15213.0,1257.0
Valparaíso,5,Concon,5103,45889.0,3757.0
Valparaíso,5,El Quisco,5604,17742.0,1569.0
Valparaíso,5,El Tabo,5605,14338.0,1524.0
Valparaíso,5,Hijuelas,5503,19099.0,1465.0
Valparaíso,5,Isla de Pascua,5201,8277.0,11.0
Valparaíso,5,Juan Fernandez,5104,1033.0,1.0
Valparaíso,5,La Cruz,5504,25321.0,2000.0
Valparaíso,5,La Ligua,5401,37739.0,3530.0
Valparaíso,5,Limache,5802,49931.0,4397.0
Valparaíso,5,Llaillay,5703,26533.0,2440.0
Valparaíso,5,Los Andes,5301,68093.0,6189.0
Valparaíso,5,Nogales,5506,23490.0,1931.0
Valparaíso,5,Olmue,5803,19266.0,1536.0
