Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,31973.0
Arica y Parinacota,15,Camarones,15102,1233.0,74.0
Arica y Parinacota,15,General Lagos,15202,810.0,88.0
Arica y Parinacota,15,Putre,15201,2515.0,228.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,437.0
Tarapacá,01,Alto Hospicio,01107,129999.0,16917.0
Tarapacá,01,Camina,01402,1375.0,234.0
Tarapacá,01,Colchane,01403,1583.0,195.0
Tarapacá,01,Huara,01404,3000.0,496.0
Tarapacá,01,Iquique,01101,223463.0,32255.0
Tarapacá,01,Pica,01405,5958.0,1073.0
Tarapacá,01,Pozo Almonte,01401,17395.0,2523.0
Tarapacá,01,Desconocido Tarapaca,,,1049.0
Antofagasta,02,Antofagasta,02101,425725.0,43344.0
Antofagasta,02,Calama,02201,190336.0,20271.0
Antofagasta,02,Maria Elena,02302,6814.0,760.0
Antofagasta,02,Mejillones,02102,14776.0,2065.0
Antofagasta,02,Ollague,02202,287.0,54.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,1255.0
Antofagasta,02,Sierra Gorda,02103,1746.0,194.0
Antofagasta,02,Taltal,02104,13657.0,1090.0
Antofagasta,02,Tocopilla,02301,28079.0,2665.0
Antofagasta,02,Desconocido Antofagasta,,,802.0
Atacama,03,Alto del Carmen,03302,5729.0,314.0
Atacama,03,Caldera,03102,19426.0,1981.0
Atacama,03,Chanaral,03201,13164.0,1203.0
Atacama,03,Copiapo,03101,171766.0,18057.0
Atacama,03,Diego de Almagro,03202,14358.0,1478.0
Atacama,03,Freirina,03303,7681.0,738.0
Atacama,03,Huasco,03304,11264.0,981.0
Atacama,03,Tierra Amarilla,03103,14312.0,1614.0
Atacama,03,Vallenar,03301,57009.0,6024.0
Atacama,03,Desconocido Atacama,,,103.0
Coquimbo,04,Andacollo,04103,11791.0,670.0
Coquimbo,04,Canela,04202,9546.0,539.0
Coquimbo,04,Combarbala,04302,13884.0,898.0
Coquimbo,04,Coquimbo,04102,256735.0,19928.0
Coquimbo,04,Illapel,04201,32801.0,2677.0
Coquimbo,04,La Higuera,04104,4450.0,430.0
Coquimbo,04,La Serena,04101,249656.0,19101.0
Coquimbo,04,Los Vilos,04203,23374.0,2269.0
Coquimbo,04,Monte Patria,04303,32527.0,2090.0
Coquimbo,04,Ovalle,04301,121269.0,9968.0
Coquimbo,04,Paiguano,04105,4675.0,402.0
Coquimbo,04,Punitaqui,04304,12165.0,1033.0
Coquimbo,04,Rio Hurtado,04305,4372.0,251.0
Coquimbo,04,Salamanca,04204,29110.0,2039.0
Coquimbo,04,Vicuna,04106,29741.0,2249.0
Coquimbo,04,Desconocido Coquimbo,,,270.0
Valparaíso,05,Algarrobo,05602,15174.0,1434.0
Valparaíso,05,Cabildo,05402,20663.0,1638.0
Valparaíso,05,Calera,05502,53591.0,5469.0
Valparaíso,05,Calle Larga,05302,16482.0,1430.0
Valparaíso,05,Cartagena,05603,25357.0,2922.0
Valparaíso,05,Casablanca,05102,29170.0,2511.0
Valparaíso,05,Catemu,05702,15213.0,1296.0
Valparaíso,05,Concon,05103,45889.0,4021.0
Valparaíso,05,El Quisco,05604,17742.0,1714.0
Valparaíso,05,El Tabo,05605,14338.0,1628.0
Valparaíso,05,Hijuelas,05503,19099.0,1539.0
Valparaíso,05,Isla de Pascua,05201,8277.0,13.0
Valparaíso,05,Juan Fernandez,05104,1033.0,1.0
Valparaíso,05,La Cruz,05504,25321.0,2083.0
Valparaíso,05,La Ligua,05401,37739.0,3682.0
Valparaíso,05,Limache,05802,49931.0,4592.0
Valparaíso,05,Llaillay,05703,26533.0,2502.0
Valparaíso,05,Los Andes,05301,68093.0,6414.0
Valparaíso,05,Nogales,05506,23490.0,1978.0
Valparaíso,05,Olmue,05803,19266.0,1672.0
Valparaíso,05,Panquehue,05704,7633.0,616.0
Valparaíso,05,Papudo,05403,6201.0,568.0
Valparaíso,05,Petorca,05404,10558.0,856.0
Valparaíso,05,Puchuncavi,05105,20071.0,1844.0
Valparaíso,05,Putaendo,05705,17645.0,1374.0
Valparaíso,05,Quillota,05501,97572.0,8997.0
Valparaíso,05,Quilpue,05801,167085.0,14665.0
Valparaíso,05,Quintero,05107,36135.0,3385.0
Valparaíso,05,Rinconada,05303,11263.0,832.0
Valparaíso,05,San Antonio,05601,96761.0,10078.0
Valparaíso,05,San Esteban,05304,20643.0,1528.0
Valparaíso,05,San Felipe,05701,83494.0,7355.0
Valparaíso,05,Santa Maria,05706,16367.0,1441.0
Valparaíso,05,Santo Domingo,05606,11934.0,1080.0
Valparaíso,05,Valparaiso,05101,315732.0,36714.0
Valparaíso,05,Villa Alemana,05804,139310.0,12829.0
Valparaíso,05,Vina del Mar,05109,361371.0,35606.0
Valparaíso,05,Zapallar,05405,7994.0,686.0
Valparaíso,05,Desconocido Valparaiso,,,1291.0
Metropolitana,13,Alhue,13502,7405.0,830.0
Metropolitana,13,Buin,13402,109641.0,11970.0
Metropolitana,13,Calera de Tango,13403,28525.0,2837.0
Metropolitana,13,Cerrillos,13102,88956.0,9260.0
Metropolitana,13,Cerro Navia,13103,142465.0,19773.0
Metropolitana,13,Colina,13301,180353.0,16905.0
Metropolitana,13,Conchali,13104,139195.0,16006.0
Metropolitana,13,Curacavi,13503,36430.0,4337.0
Metropolitana,13,El Bosque,13105,172000.0,23258.0
Metropolitana,13,El Monte,13602,40014.0,4408.0
Metropolitana,13,Estacion Central,13106,206792.0,20427.0
Metropolitana,13,Huechuraba,13107,112528.0,11173.0
Metropolitana,13,Independencia,13108,142065.0,15873.0
Metropolitana,13,Isla de Maipo,13603,40171.0,4407.0
Metropolitana,13,La Cisterna,13109,100434.0,11380.0
Metropolitana,13,La Florida,13110,402433.0,46744.0
Metropolitana,13,La Granja,13111,122557.0,18215.0
Metropolitana,13,La Pintana,13112,189335.0,27951.0
Metropolitana,13,La Reina,13113,100252.0,8236.0
Metropolitana,13,Lampa,13302,126898.0,11873.0
Metropolitana,13,Las Condes,13114,330759.0,22448.0
Metropolitana,13,Lo Barnechea,13115,124076.0,10965.0
Metropolitana,13,Lo Espejo,13116,103865.0,11929.0
Metropolitana,13,Lo Prado,13117,104403.0,15358.0
Metropolitana,13,Macul,13118,134635.0,15122.0
Metropolitana,13,Maipu,13119,578605.0,53140.0
Metropolitana,13,Maria Pinto,13504,14926.0,1810.0
Metropolitana,13,Melipilla,13501,141612.0,13724.0
Metropolitana,13,Nunoa,13120,250192.0,19512.0
Metropolitana,13,Padre Hurtado,13604,74188.0,9370.0
Metropolitana,13,Paine,13404,82766.0,8372.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,14070.0
Metropolitana,13,Penaflor,13605,101058.0,10368.0
Metropolitana,13,Penalolen,13122,266798.0,34773.0
Metropolitana,13,Pirque,13202,30433.0,3764.0
Metropolitana,13,Providencia,13123,157749.0,11551.0
Metropolitana,13,Pudahuel,13124,253139.0,31404.0
Metropolitana,13,Puente Alto,13201,645909.0,79640.0
Metropolitana,13,Quilicura,13125,254694.0,24603.0
Metropolitana,13,Quinta Normal,13126,136368.0,18253.0
Metropolitana,13,Recoleta,13127,190075.0,20667.0
Metropolitana,13,Renca,13128,160847.0,26411.0
Metropolitana,13,San Bernardo,13401,334836.0,38711.0
Metropolitana,13,San Joaquin,13129,103485.0,14628.0
