Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,15978.0
Arica y Parinacota,15,Camarones,15102,1233.0,36.0
Arica y Parinacota,15,General Lagos,15202,810.0,65.0
Arica y Parinacota,15,Putre,15201,2515.0,126.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,92.0
Tarapacá,1,Alto Hospicio,1107,129999.0,9104.0
Tarapacá,1,Camina,1402,1375.0,122.0
Tarapacá,1,Colchane,1403,1583.0,128.0
Tarapacá,1,Huara,1404,3000.0,338.0
Tarapacá,1,Iquique,1101,223463.0,17447.0
Tarapacá,1,Pica,1405,5958.0,702.0
Tarapacá,1,Pozo Almonte,1401,17395.0,1679.0
Tarapacá,1,Desconocido Tarapaca,,,830.0
Antofagasta,2,Antofagasta,2101,425725.0,25727.0
Antofagasta,2,Calama,2201,190336.0,10330.0
Antofagasta,2,Maria Elena,2302,6814.0,505.0
Antofagasta,2,Mejillones,2102,14776.0,1516.0
Antofagasta,2,Ollague,2202,287.0,32.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,676.0
Antofagasta,2,Sierra Gorda,2103,1746.0,120.0
Antofagasta,2,Taltal,2104,13657.0,408.0
Antofagasta,2,Tocopilla,2301,28079.0,1116.0
Antofagasta,2,Desconocido Antofagasta,,,487.0
Atacama,3,Alto del Carmen,3302,5729.0,99.0
Atacama,3,Caldera,3102,19426.0,633.0
Atacama,3,Chanaral,3201,13164.0,371.0
Atacama,3,Copiapo,3101,171766.0,7278.0
Atacama,3,Diego de Almagro,3202,14358.0,600.0
Atacama,3,Freirina,3303,7681.0,344.0
Atacama,3,Huasco,3304,11264.0,446.0
Atacama,3,Tierra Amarilla,3103,14312.0,718.0
Atacama,3,Vallenar,3301,57009.0,2180.0
Atacama,3,Desconocido Atacama,,,54.0
Coquimbo,4,Andacollo,4103,11791.0,314.0
Coquimbo,4,Canela,4202,9546.0,243.0
Coquimbo,4,Combarbala,4302,13884.0,245.0
Coquimbo,4,Coquimbo,4102,256735.0,8047.0
Coquimbo,4,Illapel,4201,32801.0,812.0
Coquimbo,4,La Higuera,4104,4450.0,150.0
Coquimbo,4,La Serena,4101,249656.0,7373.0
Coquimbo,4,Los Vilos,4203,23374.0,759.0
Coquimbo,4,Monte Patria,4303,32527.0,893.0
Coquimbo,4,Ovalle,4301,121269.0,4712.0
Coquimbo,4,Paiguano,4105,4675.0,86.0
Coquimbo,4,Punitaqui,4304,12165.0,397.0
Coquimbo,4,Rio Hurtado,4305,4372.0,92.0
Coquimbo,4,Salamanca,4204,29110.0,619.0
Coquimbo,4,Vicuna,4106,29741.0,616.0
Coquimbo,4,Desconocido Coquimbo,,,188.0
Valparaíso,5,Algarrobo,5602,15174.0,461.0
Valparaíso,5,Cabildo,5402,20663.0,758.0
Valparaíso,5,Calera,5502,53591.0,2071.0
Valparaíso,5,Calle Larga,5302,16482.0,584.0
Valparaíso,5,Cartagena,5603,25357.0,732.0
Valparaíso,5,Casablanca,5102,29170.0,1148.0
Valparaíso,5,Catemu,5702,15213.0,509.0
Valparaíso,5,Concon,5103,45889.0,1593.0
Valparaíso,5,El Quisco,5604,17742.0,513.0
Valparaíso,5,El Tabo,5605,14338.0,529.0
Valparaíso,5,Hijuelas,5503,19099.0,582.0
Valparaíso,5,Isla de Pascua,5201,8277.0,10.0
Valparaíso,5,Juan Fernandez,5104,1033.0,1.0
Valparaíso,5,La Cruz,5504,25321.0,740.0
Valparaíso,5,La Ligua,5401,37739.0,1634.0
Valparaíso,5,Limache,5802,49931.0,1847.0
Valparaíso,5,Llaillay,5703,26533.0,833.0
Valparaíso,5,Los Andes,5301,68093.0,2267.0
Valparaíso,5,Nogales,5506,23490.0,817.0
Valparaíso,5,Olmue,5803,19266.0,577.0
Valparaíso,5,Panquehue,5704,7633.0,188.0
Valparaíso,5,Papudo,5403,6201.0,277.0
Valparaíso,5,Petorca,5404,10558.0,308.0
Valparaíso,5,Puchuncavi,5105,20071.0,428.0
Valparaíso,5,Putaendo,5705,17645.0,463.0
Valparaíso,5,Quillota,5501,97572.0,3617.0
Valparaíso,5,Quilpue,5801,167085.0,5930.0
Valparaíso,5,Quintero,5107,36135.0,1185.0
Valparaíso,5,Rinconada,5303,11263.0,290.0
Valparaíso,5,San Antonio,5601,96761.0,3477.0
Valparaíso,5,San Esteban,5304,20643.0,539.0
Valparaíso,5,San Felipe,5701,83494.0,2712.0
Valparaíso,5,Santa Maria,5706,16367.0,504.0
Valparaíso,5,Santo Domingo,5606,11934.0,361.0
Valparaíso,5,Valparaiso,5101,315732.0,14967.0
Valparaíso,5,Villa Alemana,5804,139310.0,5185.0
Valparaíso,5,Vina del Mar,5109,361371.0,14096.0
Valparaíso,5,Zapallar,5405,7994.0,290.0
Valparaíso,5,Desconocido Valparaiso,,,602.0
Metropolitana,13,Alhue,13502,7405.0,455.0
Metropolitana,13,Buin,13402,109641.0,4591.0
Metropolitana,13,Calera de Tango,13403,28525.0,919.0
Metropolitana,13,Cerrillos,13102,88956.0,4424.0
Metropolitana,13,Cerro Navia,13103,142465.0,9370.0
Metropolitana,13,Colina,13301,180353.0,6875.0
Metropolitana,13,Conchali,13104,139195.0,8475.0
Metropolitana,13,Curacavi,13503,36430.0,1565.0
Metropolitana,13,El Bosque,13105,172000.0,9868.0
Metropolitana,13,El Monte,13602,40014.0,1729.0
Metropolitana,13,Estacion Central,13106,206792.0,9209.0
Metropolitana,13,Huechuraba,13107,112528.0,5570.0
Metropolitana,13,Independencia,13108,142065.0,8702.0
Metropolitana,13,Isla de Maipo,13603,40171.0,1945.0
Metropolitana,13,La Cisterna,13109,100434.0,5013.0
Metropolitana,13,La Florida,13110,402433.0,20676.0
Metropolitana,13,La Granja,13111,122557.0,9338.0
Metropolitana,13,La Pintana,13112,189335.0,14108.0
Metropolitana,13,La Reina,13113,100252.0,3560.0
Metropolitana,13,Lampa,13302,126898.0,5136.0
Metropolitana,13,Las Condes,13114,330759.0,10478.0
Metropolitana,13,Lo Barnechea,13115,124076.0,5236.0
Metropolitana,13,Lo Espejo,13116,103865.0,6119.0
Metropolitana,13,Lo Prado,13117,104403.0,7043.0
Metropolitana,13,Macul,13118,134635.0,7400.0
Metropolitana,13,Maipu,13119,578605.0,23306.0
Metropolitana,13,Maria Pinto,13504,14926.0,610.0
Metropolitana,13,Melipilla,13501,141612.0,6103.0
Metropolitana,13,Nunoa,13120,250192.0,9090.0
Metropolitana,13,Padre Hurtado,13604,74188.0,3433.0
Metropolitana,13,Paine,13404,82766.0,3416.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,6216.0
Metropolitana,13,Penaflor,13605,101058.0,4265.0
Metropolitana,13,Penalolen,13122,266798.0,15564.0
Metropolitana,13,Pirque,13202,30433.0,1633.0
Metropolitana,13,Providencia,13123,157749.0,5331.0
Metropolitana,13,Pudahuel,13124,253139.0,14537.0
Metropolitana,13,Puente Alto,13201,645909.0,35850.0
Metropolitana,13,Quilicura,13125,254694.0,12250.0
Metropolitana,13,Quinta Normal,13126,136368.0,8766.0
Metropolitana,13,Recoleta,13127,190075.0,11227.0
Metropolitana,13,Renca,13128,160847.0,12468.0
Metropolitana,13,San Bernardo,13401,334836.0,16569.0
Metropolitana,13,San Joaquin,13129,103485.0,7074.0
Metropolitana,13,San Jose de Maipo,13203,18644.0,956.0
Metropolitana,13,San Miguel,13130,133059.0,8074.0
Metropolitana,13,San Pedro,13505,11953.0,386.0
Metropolitana,13,San Ramon,13131,86510.0,5959.0
Metropolitana,13,Santiago,13101,503147.0,22998.0
Metropolitana,13,Talagante,13601,81838.0,2756.0
Metropolitana,13,Tiltil,13303,21477.0,864.0
Metropolitana,13,Vitacura,13132,96774.0,2864.0
Metropolitana,13,Desconocido Metropolitana,,,11835.0
O’Higgins,6,Chepica,6302,15925.0,445.0
O’Higgins,6,Chimbarongo,6303,37696.0,742.0
O’Higgins,6,Codegua,6102,14096.0,525.0
O’Higgins,6,Coinco,6103,7831.0,314.0
O’Higgins,6,Coltauco,6104,21263.0,876.0
O’Higgins,6,Donihue,6105,22700.0,1098.0
O’Higgins,6,Graneros,6106,36504.0,1368.0
O’Higgins,6,La Estrella,6202,3114.0,77.0
O’Higgins,6,Las Cabras,6107,26749.0,1178.0
O’Higgins,6,Litueche,6203,6765.0,196.0
O’Higgins,6,Lolol,6304,7289.0,144.0
O’Higgins,6,Machali,6108,59913.0,1960.0
O’Higgins,6,Malloa,6109,14163.0,475.0
O’Higgins,6,Marchihue,6204,7632.0,220.0
O’Higgins,6,Mostazal,6110,27462.0,752.0
O’Higgins,6,Nancagua,6305,19141.0,531.0
O’Higgins,6,Navidad,6205,6904.0,144.0
O’Higgins,6,Olivar,6111,14624.0,701.0
O’Higgins,6,Palmilla,6306,13299.0,425.0
O’Higgins,6,Paredones,6206,6349.0,217.0
O’Higgins,6,Peralillo,6307,11848.0,347.0
O’Higgins,6,Peumo,6112,14952.0,668.0
O’Higgins,6,Pichidegua,6113,20743.0,1029.0
O’Higgins,6,Pichilemu,6201,17882.0,470.0
O’Higgins,6,Placilla,6308,9164.0,280.0
O’Higgins,6,Pumanque,6309,3531.0,75.0
O’Higgins,6,Quinta de Tilcoco,6114,13877.0,400.0
O’Higgins,6,Rancagua,6101,265211.0,12388.0
O’Higgins,6,Rengo,6115,63710.0,2781.0
O’Higgins,6,Requinoa,6116,30371.0,1042.0
O’Higgins,6,San Fernando,6301,78642.0,2665.0
O’Higgins,6,San Vicente,6117,50617.0,2419.0
O’Higgins,6,Santa Cruz,6310,41096.0,1353.0
O’Higgins,6,Desconocido O’Higgins,,,154.0
Maule,7,Cauquenes,7201,44143.0,935.0
Maule,7,Chanco,7202,9331.0,218.0
Maule,7,Colbun,7402,22565.0,830.0
Maule,7,Constitucion,7102,50348.0,1721.0
Maule,7,Curepto,7103,9426.0,305.0
Maule,7,Curico,7301,163626.0,8917.0
Maule,7,Empedrado,7104,4206.0,197.0
Maule,7,Hualane,7302,10222.0,311.0
Maule,7,Licanten,7303,6989.0,347.0
Maule,7,Linares,7401,101073.0,3452.0
Maule,7,Longavi,7403,32810.0,1043.0
Maule,7,Maule,7105,60000.0,2470.0
Maule,7,Molina,7304,49800.0,2099.0
Maule,7,Parral,7404,44544.0,1530.0
Maule,7,Pelarco,7106,9083.0,309.0
Maule,7,Pelluhue,7203,8092.0,251.0
Maule,7,Pencahue,7107,8601.0,362.0
