Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,17431.0
Arica y Parinacota,15,Camarones,15102,1233.0,42.0
Arica y Parinacota,15,General Lagos,15202,810.0,65.0
Arica y Parinacota,15,Putre,15201,2515.0,128.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,92.0
Tarapacá,01,Alto Hospicio,01107,129999.0,9671.0
Tarapacá,01,Camina,01402,1375.0,131.0
Tarapacá,01,Colchane,01403,1583.0,130.0
Tarapacá,01,Huara,01404,3000.0,345.0
Tarapacá,01,Iquique,01101,223463.0,18829.0
Tarapacá,01,Pica,01405,5958.0,746.0
Tarapacá,01,Pozo Almonte,01401,17395.0,1742.0
Tarapacá,01,Desconocido Tarapaca,,,842.0
Antofagasta,02,Antofagasta,02101,425725.0,27797.0
Antofagasta,02,Calama,02201,190336.0,11008.0
Antofagasta,02,Maria Elena,02302,6814.0,511.0
Antofagasta,02,Mejillones,02102,14776.0,1583.0
Antofagasta,02,Ollague,02202,287.0,32.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,709.0
Antofagasta,02,Sierra Gorda,02103,1746.0,124.0
Antofagasta,02,Taltal,02104,13657.0,528.0
Antofagasta,02,Tocopilla,02301,28079.0,1276.0
Antofagasta,02,Desconocido Antofagasta,,,507.0
Atacama,03,Alto del Carmen,03302,5729.0,109.0
Atacama,03,Caldera,03102,19426.0,763.0
Atacama,03,Chanaral,03201,13164.0,438.0
Atacama,03,Copiapo,03101,171766.0,7822.0
Atacama,03,Diego de Almagro,03202,14358.0,655.0
Atacama,03,Freirina,03303,7681.0,382.0
Atacama,03,Huasco,03304,11264.0,517.0
Atacama,03,Tierra Amarilla,03103,14312.0,778.0
Atacama,03,Vallenar,03301,57009.0,2369.0
Atacama,03,Desconocido Atacama,,,55.0
Coquimbo,04,Andacollo,04103,11791.0,346.0
Coquimbo,04,Canela,04202,9546.0,259.0
Coquimbo,04,Combarbala,04302,13884.0,303.0
Coquimbo,04,Coquimbo,04102,256735.0,9006.0
Coquimbo,04,Illapel,04201,32801.0,959.0
Coquimbo,04,La Higuera,04104,4450.0,180.0
Coquimbo,04,La Serena,04101,249656.0,8533.0
Coquimbo,04,Los Vilos,04203,23374.0,869.0
Coquimbo,04,Monte Patria,04303,32527.0,1039.0
Coquimbo,04,Ovalle,04301,121269.0,5172.0
Coquimbo,04,Paiguano,04105,4675.0,110.0
Coquimbo,04,Punitaqui,04304,12165.0,443.0
Coquimbo,04,Rio Hurtado,04305,4372.0,98.0
Coquimbo,04,Salamanca,04204,29110.0,730.0
Coquimbo,04,Vicuna,04106,29741.0,770.0
Coquimbo,04,Desconocido Coquimbo,,,188.0
Valparaíso,05,Algarrobo,05602,15174.0,512.0
Valparaíso,05,Cabildo,05402,20663.0,873.0
Valparaíso,05,Calera,05502,53591.0,2260.0
Valparaíso,05,Calle Larga,05302,16482.0,656.0
Valparaíso,05,Cartagena,05603,25357.0,836.0
Valparaíso,05,Casablanca,05102,29170.0,1246.0
Valparaíso,05,Catemu,05702,15213.0,561.0
Valparaíso,05,Concon,05103,45889.0,1801.0
Valparaíso,05,El Quisco,05604,17742.0,588.0
Valparaíso,05,El Tabo,05605,14338.0,580.0
Valparaíso,05,Hijuelas,05503,19099.0,629.0
Valparaíso,05,Isla de Pascua,05201,8277.0,15.0
Valparaíso,05,Juan Fernandez,05104,1033.0,1.0
Valparaíso,05,La Cruz,05504,25321.0,828.0
Valparaíso,05,La Ligua,05401,37739.0,1753.0
Valparaíso,05,Limache,05802,49931.0,2045.0
Valparaíso,05,Llaillay,05703,26533.0,942.0
Valparaíso,05,Los Andes,05301,68093.0,2445.0
Valparaíso,05,Nogales,05506,23490.0,920.0
Valparaíso,05,Olmue,05803,19266.0,629.0
Valparaíso,05,Panquehue,05704,7633.0,208.0
Valparaíso,05,Papudo,05403,6201.0,286.0
Valparaíso,05,Petorca,05404,10558.0,345.0
Valparaíso,05,Puchuncavi,05105,20071.0,538.0
Valparaíso,05,Putaendo,05705,17645.0,512.0
Valparaíso,05,Quillota,05501,97572.0,4176.0
Valparaíso,05,Quilpue,05801,167085.0,6640.0
Valparaíso,05,Quintero,05107,36135.0,1301.0
Valparaíso,05,Rinconada,05303,11263.0,306.0
Valparaíso,05,San Antonio,05601,96761.0,4059.0
Valparaíso,05,San Esteban,05304,20643.0,570.0
Valparaíso,05,San Felipe,05701,83494.0,2927.0
Valparaíso,05,Santa Maria,05706,16367.0,526.0
Valparaíso,05,Santo Domingo,05606,11934.0,417.0
Valparaíso,05,Valparaiso,05101,315732.0,17025.0
Valparaíso,05,Villa Alemana,05804,139310.0,5751.0
Valparaíso,05,Vina del Mar,05109,361371.0,15823.0
Valparaíso,05,Zapallar,05405,7994.0,310.0
Valparaíso,05,Desconocido Valparaiso,,,776.0
Metropolitana,13,Alhue,13502,7405.0,472.0
Metropolitana,13,Buin,13402,109641.0,5010.0
Metropolitana,13,Calera de Tango,13403,28525.0,1051.0
Metropolitana,13,Cerrillos,13102,88956.0,4817.0
Metropolitana,13,Cerro Navia,13103,142465.0,9768.0
Metropolitana,13,Colina,13301,180353.0,7330.0
Metropolitana,13,Conchali,13104,139195.0,8867.0
Metropolitana,13,Curacavi,13503,36430.0,1734.0
Metropolitana,13,El Bosque,13105,172000.0,10611.0
Metropolitana,13,El Monte,13602,40014.0,1847.0
Metropolitana,13,Estacion Central,13106,206792.0,9933.0
Metropolitana,13,Huechuraba,13107,112528.0,5834.0
Metropolitana,13,Independencia,13108,142065.0,9200.0
Metropolitana,13,Isla de Maipo,13603,40171.0,2145.0
Metropolitana,13,La Cisterna,13109,100434.0,5440.0
Metropolitana,13,La Florida,13110,402433.0,22496.0
Metropolitana,13,La Granja,13111,122557.0,9846.0
Metropolitana,13,La Pintana,13112,189335.0,14793.0
Metropolitana,13,La Reina,13113,100252.0,3909.0
Metropolitana,13,Lampa,13302,126898.0,5553.0
Metropolitana,13,Las Condes,13114,330759.0,11395.0
Metropolitana,13,Lo Barnechea,13115,124076.0,5617.0
Metropolitana,13,Lo Espejo,13116,103865.0,6435.0
Metropolitana,13,Lo Prado,13117,104403.0,7508.0
Metropolitana,13,Macul,13118,134635.0,7884.0
Metropolitana,13,Maipu,13119,578605.0,25258.0
Metropolitana,13,Maria Pinto,13504,14926.0,686.0
Metropolitana,13,Melipilla,13501,141612.0,6562.0
Metropolitana,13,Nunoa,13120,250192.0,9892.0
Metropolitana,13,Padre Hurtado,13604,74188.0,3825.0
Metropolitana,13,Paine,13404,82766.0,3670.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,6624.0
Metropolitana,13,Penaflor,13605,101058.0,4731.0
Metropolitana,13,Penalolen,13122,266798.0,16630.0
Metropolitana,13,Pirque,13202,30433.0,1753.0
Metropolitana,13,Providencia,13123,157749.0,5803.0
Metropolitana,13,Pudahuel,13124,253139.0,15557.0
Metropolitana,13,Puente Alto,13201,645909.0,38359.0
Metropolitana,13,Quilicura,13125,254694.0,12989.0
Metropolitana,13,Quinta Normal,13126,136368.0,9282.0
Metropolitana,13,Recoleta,13127,190075.0,11868.0
Metropolitana,13,Renca,13128,160847.0,13276.0
Metropolitana,13,San Bernardo,13401,334836.0,17813.0
Metropolitana,13,San Joaquin,13129,103485.0,7454.0
Metropolitana,13,San Jose de Maipo,13203,18644.0,995.0
Metropolitana,13,San Miguel,13130,133059.0,8678.0
Metropolitana,13,San Pedro,13505,11953.0,423.0
Metropolitana,13,San Ramon,13131,86510.0,6372.0
Metropolitana,13,Santiago,13101,503147.0,24877.0
Metropolitana,13,Talagante,13601,81838.0,3061.0
Metropolitana,13,Tiltil,13303,21477.0,916.0
Metropolitana,13,Vitacura,13132,96774.0,3138.0
Metropolitana,13,Desconocido Metropolitana,,,12151.0
O’Higgins,06,Chepica,06302,15925.0,523.0
O’Higgins,06,Chimbarongo,06303,37696.0,898.0
O’Higgins,06,Codegua,06102,14096.0,550.0
O’Higgins,06,Coinco,06103,7831.0,337.0
O’Higgins,06,Coltauco,06104,21263.0,938.0
O’Higgins,06,Donihue,06105,22700.0,1175.0
O’Higgins,06,Graneros,06106,36504.0,1479.0
O’Higgins,06,La Estrella,06202,3114.0,101.0
O’Higgins,06,Las Cabras,06107,26749.0,1264.0
O’Higgins,06,Litueche,06203,6765.0,224.0
O’Higgins,06,Lolol,06304,7289.0,156.0
O’Higgins,06,Machali,06108,59913.0,2153.0
O’Higgins,06,Malloa,06109,14163.0,527.0
O’Higgins,06,Marchihue,06204,7632.0,238.0
O’Higgins,06,Mostazal,06110,27462.0,810.0
O’Higgins,06,Nancagua,06305,19141.0,695.0
O’Higgins,06,Navidad,06205,6904.0,189.0
O’Higgins,06,Olivar,06111,14624.0,852.0
O’Higgins,06,Palmilla,06306,13299.0,511.0
O’Higgins,06,Paredones,06206,6349.0,236.0
O’Higgins,06,Peralillo,06307,11848.0,397.0
O’Higgins,06,Peumo,06112,14952.0,732.0
O’Higgins,06,Pichidegua,06113,20743.0,1138.0
O’Higgins,06,Pichilemu,06201,17882.0,622.0
O’Higgins,06,Placilla,06308,9164.0,314.0
O’Higgins,06,Pumanque,06309,3531.0,77.0
O’Higgins,06,Quinta de Tilcoco,06114,13877.0,448.0
O’Higgins,06,Rancagua,06101,265211.0,13371.0
O’Higgins,06,Rengo,06115,63710.0,3135.0
O’Higgins,06,Requinoa,06116,30371.0,1133.0
O’Higgins,06,San Fernando,06301,78642.0,3293.0
O’Higgins,06,San Vicente,06117,50617.0,2603.0
O’Higgins,06,Santa Cruz,06310,41096.0,1543.0
O’Higgins,06,Desconocido O’Higgins,,,183.0
Maule,07,Cauquenes,07201,44143.0,1135.0
Maule,07,Chanco,07202,9331.0,291.0
Maule,07,Colbun,07402,22565.0,958.0
Maule,07,Constitucion,07102,50348.0,1880.0
Maule,07,Curepto,07103,9426.0,325.0
Maule,07,Curico,07301,163626.0,9842.0
Maule,07,Empedrado,07104,4206.0,204.0
Maule,07,Hualane,07302,10222.0,341.0
Maule,07,Licanten,07303,6989.0,362.0
Maule,07,Linares,07401,101073.0,4074.0
Maule,07,Longavi,07403,32810.0,1193.0
Maule,07,Maule,07105,60000.0,2744.0
Maule,07,Molina,07304,49800.0,2314.0
Maule,07,Parral,07404,44544.0,1673.0
Maule,07,Pelarco,07106,9083.0,342.0
Maule,07,Pelluhue,07203,8092.0,290.0
Maule,07,Pencahue,07107,8601.0,403.0
Maule,07,Rauco,07305,11248.0,506.0
Maule,07,Retiro,07405,21071.0,664.0
Maule,07,Rio Claro,07108,14753.0,549.0
Maule,07,Romeral,07306,16170.0,995.0
Maule,07,Sagrada Familia,07307,19469.0,609.0
Maule,07,San Clemente,07109,46292.0,2401.0
Maule,07,San Javier,07406,49451.0,2523.0
Maule,07,San Rafael,07110,9959.0,517.0
Maule,07,Talca,07101,236724.0,11676.0
Maule,07,Teno,07308,30850.0,1417.0
Maule,07,Vichuquen,07309,4381.0,242.0
Maule,07,Villa Alegre,07407,17512.0,641.0
Maule,07,Yerbas Buenas,07408,19200.0,777.0
Maule,07,Desconocido Maule,,,54.0
Ñuble,16,Bulnes,16102,22607.0,1378.0
Ñuble,16,Chillan,16101,198624.0,12139.0
Ñuble,16,Chillan Viejo,16103,33827.0,1580.0
Ñuble,16,Cobquecura,16202,5275.0,112.0
Ñuble,16,Coelemu,16203,16845.0,601.0
Ñuble,16,Coihueco,16302,28375.0,1373.0
Ñuble,16,El Carmen,16104,12334.0,424.0
Ñuble,16,Ninhue,16204,5414.0,292.0
Ñuble,16,Niquen,16303,11567.0,452.0
Ñuble,16,Pemuco,16105,8639.0,289.0
Ñuble,16,Pinto,16106,11880.0,404.0
Ñuble,16,Portezuelo,16205,4940.0,149.0
Ñuble,16,Quillon,16107,18777.0,870.0
Ñuble,16,Quirihue,16201,12192.0,522.0
Ñuble,16,Ranquil,16206,6261.0,260.0
Ñuble,16,San Carlos,16301,56252.0,2357.0
Ñuble,16,San Fabian,16304,4654.0,152.0
Ñuble,16,San Ignacio,16108,16624.0,614.0
Ñuble,16,San Nicolas,16305,12172.0,578.0
Ñuble,16,Treguaco,16207,5696.0,272.0
Ñuble,16,Yungay,16109,18596.0,681.0
Ñuble,16,Desconocido Nuble,,,21.0
Biobío,08,Alto Biobio,08314,6775.0,310.0
Biobío,08,Antuco,08302,4306.0,173.0
Biobío,08,Arauco,08202,38679.0,3144.0
Biobío,08,Cabrero,08303,30725.0,1432.0
Biobío,08,Canete,08203,37003.0,2410.0
Biobío,08,Chiguayante,08103,91180.0,5916.0
Biobío,08,Concepcion,08101,238092.0,14659.0
Biobío,08,Contulmo,08204,6330.0,293.0
Biobío,08,Coronel,08102,125829.0,9849.0
Biobío,08,Curanilahue,08205,33892.0,2913.0
Biobío,08,Florida,08104,11841.0,610.0
Biobío,08,Hualpen,08112,97273.0,6757.0
Biobío,08,Hualqui,08105,26201.0,1594.0
Biobío,08,Laja,08304,23873.0,1212.0
Biobío,08,Lebu,08201,27100.0,1218.0
Biobío,08,Los Alamos,08206,22524.0,1360.0
Biobío,08,Los Angeles,08301,218515.0,10590.0
Biobío,08,Lota,08106,45750.0,4075.0
Biobío,08,Mulchen,08305,31041.0,1461.0
Biobío,08,Nacimiento,08306,27944.0,1259.0
Biobío,08,Negrete,08307,10429.0,661.0
Biobío,08,Penco,08107,49865.0,3495.0
Biobío,08,Quilaco,08308,4179.0,151.0
Biobío,08,Quilleco,08309,10032.0,398.0
Biobío,08,San Pedro de la Paz,08108,145906.0,8545.0
Biobío,08,San Rosendo,08310,3611.0,191.0
Biobío,08,Santa Barbara,08311,14592.0,514.0
Biobío,08,Santa Juana,08109,14779.0,534.0
Biobío,08,Talcahuano,08110,158345.0,10966.0
Biobío,08,Tirua,08207,11019.0,771.0
Biobío,08,Tome,08111,58729.0,3627.0
Biobío,08,Tucapel,08312,15205.0,624.0
Biobío,08,Yumbel,08313,22132.0,1014.0
Biobío,08,Desconocido Biobio,,,301.0
Araucanía,09,Angol,09201,56058.0,3015.0
Araucanía,09,Carahue,09102,25486.0,1326.0
Araucanía,09,Cholchol,09121,12341.0,676.0
Araucanía,09,Collipulli,09202,26148.0,1617.0
Araucanía,09,Cunco,09103,18055.0,920.0
Araucanía,09,Curacautin,09203,18178.0,526.0
Araucanía,09,Curarrehue,09104,7802.0,318.0
Araucanía,09,Ercilla,09204,8458.0,551.0
Araucanía,09,Freire,09105,25446.0,1263.0
Araucanía,09,Galvarino,09106,12633.0,961.0
Araucanía,09,Gorbea,09107,15148.0,633.0
Araucanía,09,Lautaro,09108,40746.0,2062.0
Araucanía,09,Loncoche,09109,24739.0,1092.0
Araucanía,09,Lonquimay,09205,11049.0,446.0
Araucanía,09,Los Sauces,09206,7517.0,435.0
Araucanía,09,Lumaco,09207,10050.0,650.0
Araucanía,09,Melipeuco,09110,6265.0,228.0
Araucanía,09,Nueva Imperial,09111,33777.0,1630.0
Araucanía,09,Padre Las Casas,09112,82110.0,4630.0
Araucanía,09,Perquenco,09113,7223.0,564.0
Araucanía,09,Pitrufquen,09114,26096.0,1225.0
Araucanía,09,Pucon,09115,29782.0,1301.0
Araucanía,09,Puren,09208,12188.0,550.0
Araucanía,09,Renaico,09209,10833.0,647.0
Araucanía,09,Saavedra,09116,12793.0,918.0
Araucanía,09,Temuco,09101,302931.0,16492.0
Araucanía,09,Teodoro Schmidt,09117,15786.0,596.0
Araucanía,09,Tolten,09118,10055.0,535.0
Araucanía,09,Traiguen,09210,19314.0,940.0
Araucanía,09,Victoria,09211,35467.0,1824.0
Araucanía,09,Vilcun,09119,30766.0,1551.0
