Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,24929.0
Arica y Parinacota,15,Camarones,15102,1233.0,59.0
Arica y Parinacota,15,General Lagos,15202,810.0,79.0
Arica y Parinacota,15,Putre,15201,2515.0,173.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,172.0
Tarapacá,01,Alto Hospicio,01107,129999.0,13666.0
Tarapacá,01,Camina,01402,1375.0,172.0
Tarapacá,01,Colchane,01403,1583.0,139.0
Tarapacá,01,Huara,01404,3000.0,401.0
Tarapacá,01,Iquique,01101,223463.0,26188.0
Tarapacá,01,Pica,01405,5958.0,896.0
Tarapacá,01,Pozo Almonte,01401,17395.0,2066.0
Tarapacá,01,Desconocido Tarapaca,,,972.0
Antofagasta,02,Antofagasta,02101,425725.0,35181.0
Antofagasta,02,Calama,02201,190336.0,15481.0
Antofagasta,02,Maria Elena,02302,6814.0,618.0
Antofagasta,02,Mejillones,02102,14776.0,1775.0
Antofagasta,02,Ollague,02202,287.0,33.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,852.0
Antofagasta,02,Sierra Gorda,02103,1746.0,153.0
Antofagasta,02,Taltal,02104,13657.0,784.0
Antofagasta,02,Tocopilla,02301,28079.0,1745.0
Antofagasta,02,Desconocido Antofagasta,,,653.0
Atacama,03,Alto del Carmen,03302,5729.0,200.0
Atacama,03,Caldera,03102,19426.0,1240.0
Atacama,03,Chanaral,03201,13164.0,769.0
Atacama,03,Copiapo,03101,171766.0,12531.0
Atacama,03,Diego de Almagro,03202,14358.0,976.0
Atacama,03,Freirina,03303,7681.0,566.0
Atacama,03,Huasco,03304,11264.0,662.0
Atacama,03,Tierra Amarilla,03103,14312.0,1105.0
Atacama,03,Vallenar,03301,57009.0,3991.0
Atacama,03,Desconocido Atacama,,,84.0
Coquimbo,04,Andacollo,04103,11791.0,464.0
Coquimbo,04,Canela,04202,9546.0,399.0
Coquimbo,04,Combarbala,04302,13884.0,517.0
Coquimbo,04,Coquimbo,04102,256735.0,13250.0
Coquimbo,04,Illapel,04201,32801.0,1683.0
Coquimbo,04,La Higuera,04104,4450.0,296.0
Coquimbo,04,La Serena,04101,249656.0,13206.0
Coquimbo,04,Los Vilos,04203,23374.0,1491.0
Coquimbo,04,Monte Patria,04303,32527.0,1479.0
Coquimbo,04,Ovalle,04301,121269.0,7333.0
Coquimbo,04,Paiguano,04105,4675.0,209.0
Coquimbo,04,Punitaqui,04304,12165.0,685.0
Coquimbo,04,Rio Hurtado,04305,4372.0,166.0
Coquimbo,04,Salamanca,04204,29110.0,1320.0
Coquimbo,04,Vicuna,04106,29741.0,1259.0
Coquimbo,04,Desconocido Coquimbo,,,278.0
Valparaíso,05,Algarrobo,05602,15174.0,882.0
Valparaíso,05,Cabildo,05402,20663.0,1180.0
Valparaíso,05,Calera,05502,53591.0,4089.0
Valparaíso,05,Calle Larga,05302,16482.0,997.0
Valparaíso,05,Cartagena,05603,25357.0,1575.0
Valparaíso,05,Casablanca,05102,29170.0,1905.0
Valparaíso,05,Catemu,05702,15213.0,902.0
Valparaíso,05,Concon,05103,45889.0,2879.0
Valparaíso,05,El Quisco,05604,17742.0,954.0
Valparaíso,05,El Tabo,05605,14338.0,944.0
Valparaíso,05,Hijuelas,05503,19099.0,1188.0
Valparaíso,05,Isla de Pascua,05201,8277.0,9.0
Valparaíso,05,Juan Fernandez,05104,1033.0,1.0
Valparaíso,05,La Cruz,05504,25321.0,1499.0
Valparaíso,05,La Ligua,05401,37739.0,2465.0
Valparaíso,05,Limache,05802,49931.0,3355.0
Valparaíso,05,Llaillay,05703,26533.0,1471.0
Valparaíso,05,Los Andes,05301,68093.0,4212.0
Valparaíso,05,Nogales,05506,23490.0,1490.0
Valparaíso,05,Olmue,05803,19266.0,1106.0
Valparaíso,05,Panquehue,05704,7633.0,405.0
Valparaíso,05,Papudo,05403,6201.0,434.0
Valparaíso,05,Petorca,05404,10558.0,475.0
Valparaíso,05,Puchuncavi,05105,20071.0,1082.0
Valparaíso,05,Putaendo,05705,17645.0,850.0
Valparaíso,05,Quillota,05501,97572.0,6819.0
Valparaíso,05,Quilpue,05801,167085.0,10732.0
Valparaíso,05,Quintero,05107,36135.0,2283.0
Valparaíso,05,Rinconada,05303,11263.0,508.0
Valparaíso,05,San Antonio,05601,96761.0,6354.0
Valparaíso,05,San Esteban,05304,20643.0,973.0
Valparaíso,05,San Felipe,05701,83494.0,4913.0
Valparaíso,05,Santa Maria,05706,16367.0,990.0
Valparaíso,05,Santo Domingo,05606,11934.0,642.0
Valparaíso,05,Valparaiso,05101,315732.0,28272.0
Valparaíso,05,Villa Alemana,05804,139310.0,9448.0
Valparaíso,05,Vina del Mar,05109,361371.0,26894.0
Valparaíso,05,Zapallar,05405,7994.0,444.0
Valparaíso,05,Desconocido Valparaiso,,,1167.0
Metropolitana,13,Alhue,13502,7405.0,669.0
Metropolitana,13,Buin,13402,109641.0,8019.0
