Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,27576.0
Arica y Parinacota,15,Camarones,15102,1233.0,62.0
Arica y Parinacota,15,General Lagos,15202,810.0,80.0
Arica y Parinacota,15,Putre,15201,2515.0,189.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,207.0
Tarapacá,01,Alto Hospicio,01107,129999.0,14613.0
Tarapacá,01,Camina,01402,1375.0,204.0
Tarapacá,01,Colchane,01403,1583.0,144.0
Tarapacá,01,Huara,01404,3000.0,429.0
Tarapacá,01,Iquique,01101,223463.0,27764.0
Tarapacá,01,Pica,01405,5958.0,967.0
Tarapacá,01,Pozo Almonte,01401,17395.0,2199.0
Tarapacá,01,Desconocido Tarapaca,,,978.0
Antofagasta,02,Antofagasta,02101,425725.0,37574.0
Antofagasta,02,Calama,02201,190336.0,17100.0
Antofagasta,02,Maria Elena,02302,6814.0,660.0
Antofagasta,02,Mejillones,02102,14776.0,1874.0
Antofagasta,02,Ollague,02202,287.0,32.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,935.0
Antofagasta,02,Sierra Gorda,02103,1746.0,161.0
Antofagasta,02,Taltal,02104,13657.0,840.0
Antofagasta,02,Tocopilla,02301,28079.0,1904.0
Antofagasta,02,Desconocido Antofagasta,,,718.0
Atacama,03,Alto del Carmen,03302,5729.0,247.0
Atacama,03,Caldera,03102,19426.0,1432.0
Atacama,03,Chanaral,03201,13164.0,867.0
Atacama,03,Copiapo,03101,171766.0,14391.0
Atacama,03,Diego de Almagro,03202,14358.0,1183.0
Atacama,03,Freirina,03303,7681.0,635.0
Atacama,03,Huasco,03304,11264.0,781.0
Atacama,03,Tierra Amarilla,03103,14312.0,1286.0
Atacama,03,Vallenar,03301,57009.0,4663.0
Atacama,03,Desconocido Atacama,,,105.0
Coquimbo,04,Andacollo,04103,11791.0,528.0
Coquimbo,04,Canela,04202,9546.0,429.0
Coquimbo,04,Combarbala,04302,13884.0,656.0
