Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,13885.0
Arica y Parinacota,15,Camarones,15102,1233.0,30.0
Arica y Parinacota,15,General Lagos,15202,810.0,64.0
Arica y Parinacota,15,Putre,15201,2515.0,117.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,117.0
Tarapacá,01,Alto Hospicio,01107,129999.0,7974.0
Tarapacá,01,Camina,01402,1375.0,107.0
Tarapacá,01,Colchane,01403,1583.0,125.0
Tarapacá,01,Huara,01404,3000.0,283.0
Tarapacá,01,Iquique,01101,223463.0,15235.0
Tarapacá,01,Pica,01405,5958.0,633.0
Tarapacá,01,Pozo Almonte,01401,17395.0,1526.0
Tarapacá,01,Desconocido Tarapaca,,,861.0
Antofagasta,02,Antofagasta,02101,425725.0,21910.0
Antofagasta,02,Calama,02201,190336.0,9277.0
Antofagasta,02,Maria Elena,02302,6814.0,468.0
Antofagasta,02,Mejillones,02102,14776.0,1292.0
Antofagasta,02,Ollague,02202,287.0,32.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,578.0
Antofagasta,02,Sierra Gorda,02103,1746.0,108.0
Antofagasta,02,Taltal,02104,13657.0,348.0
Antofagasta,02,Tocopilla,02301,28079.0,820.0
Antofagasta,02,Desconocido Antofagasta,,,491.0
Atacama,03,Alto del Carmen,03302,5729.0,64.0
Atacama,03,Caldera,03102,19426.0,524.0
Atacama,03,Chanaral,03201,13164.0,280.0
Atacama,03,Copiapo,03101,171766.0,6322.0
Atacama,03,Diego de Almagro,03202,14358.0,539.0
Atacama,03,Freirina,03303,7681.0,279.0
Atacama,03,Huasco,03304,11264.0,376.0
Atacama,03,Tierra Amarilla,03103,14312.0,607.0
Atacama,03,Vallenar,03301,57009.0,1953.0
Atacama,03,Desconocido Atacama,,,50.0
Coquimbo,04,Andacollo,04103,11791.0,238.0
Coquimbo,04,Canela,04202,9546.0,188.0
Coquimbo,04,Combarbala,04302,13884.0,181.0
Coquimbo,04,Coquimbo,04102,256735.0,6746.0
Coquimbo,04,Illapel,04201,32801.0,655.0
Coquimbo,04,La Higuera,04104,4450.0,130.0
Coquimbo,04,La Serena,04101,249656.0,5823.0
Coquimbo,04,Los Vilos,04203,23374.0,611.0
Coquimbo,04,Monte Patria,04303,32527.0,787.0
Coquimbo,04,Ovalle,04301,121269.0,4204.0
Coquimbo,04,Paiguano,04105,4675.0,57.0
Coquimbo,04,Punitaqui,04304,12165.0,352.0
Coquimbo,04,Rio Hurtado,04305,4372.0,83.0
Coquimbo,04,Salamanca,04204,29110.0,410.0
Coquimbo,04,Vicuna,04106,29741.0,441.0
Coquimbo,04,Desconocido Coquimbo,,,193.0
Valparaíso,05,Algarrobo,05602,15174.0,358.0
Valparaíso,05,Cabildo,05402,20663.0,682.0
Valparaíso,05,Calera,05502,53591.0,1841.0
Valparaíso,05,Calle Larga,05302,16482.0,528.0
Valparaíso,05,Cartagena,05603,25357.0,603.0
Valparaíso,05,Casablanca,05102,29170.0,1033.0
Valparaíso,05,Catemu,05702,15213.0,425.0
Valparaíso,05,Concon,05103,45889.0,1417.0
Valparaíso,05,El Quisco,05604,17742.0,438.0
Valparaíso,05,El Tabo,05605,14338.0,434.0
Valparaíso,05,Hijuelas,05503,19099.0,506.0
Valparaíso,05,Isla de Pascua,05201,8277.0,10.0
