Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,29348.0
Arica y Parinacota,15,Camarones,15102,1233.0,66.0
Arica y Parinacota,15,General Lagos,15202,810.0,87.0
Arica y Parinacota,15,Putre,15201,2515.0,198.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,232.0
Tarapacá,01,Alto Hospicio,01107,129999.0,15410.0
Tarapacá,01,Camina,01402,1375.0,221.0
Tarapacá,01,Colchane,01403,1583.0,145.0
Tarapacá,01,Huara,01404,3000.0,455.0
Tarapacá,01,Iquique,01101,223463.0,29036.0
Tarapacá,01,Pica,01405,5958.0,1001.0
Tarapacá,01,Pozo Almonte,01401,17395.0,2263.0
Tarapacá,01,Desconocido Tarapaca,,,997.0
Antofagasta,02,Antofagasta,02101,425725.0,39335.0
Antofagasta,02,Calama,02201,190336.0,18264.0
Antofagasta,02,Maria Elena,02302,6814.0,702.0
Antofagasta,02,Mejillones,02102,14776.0,1931.0
Antofagasta,02,Ollague,02202,287.0,38.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,1132.0
Antofagasta,02,Sierra Gorda,02103,1746.0,166.0
Antofagasta,02,Taltal,02104,13657.0,927.0
Antofagasta,02,Tocopilla,02301,28079.0,2014.0
Antofagasta,02,Desconocido Antofagasta,,,757.0
Atacama,03,Alto del Carmen,03302,5729.0,265.0
Atacama,03,Caldera,03102,19426.0,1571.0
Atacama,03,Chanaral,03201,13164.0,1033.0
Atacama,03,Copiapo,03101,171766.0,16029.0
Atacama,03,Diego de Almagro,03202,14358.0,1318.0
Atacama,03,Freirina,03303,7681.0,678.0
Atacama,03,Huasco,03304,11264.0,847.0
Atacama,03,Tierra Amarilla,03103,14312.0,1484.0
Atacama,03,Vallenar,03301,57009.0,5077.0
Atacama,03,Desconocido Atacama,,,110.0
Coquimbo,04,Andacollo,04103,11791.0,573.0
Coquimbo,04,Canela,04202,9546.0,474.0
Coquimbo,04,Combarbala,04302,13884.0,775.0
Coquimbo,04,Coquimbo,04102,256735.0,16701.0
Coquimbo,04,Illapel,04201,32801.0,2351.0
Coquimbo,04,La Higuera,04104,4450.0,385.0
Coquimbo,04,La Serena,04101,249656.0,16576.0
Coquimbo,04,Los Vilos,04203,23374.0,1811.0
Coquimbo,04,Monte Patria,04303,32527.0,1995.0
Coquimbo,04,Ovalle,04301,121269.0,9409.0
Coquimbo,04,Paiguano,04105,4675.0,342.0
Coquimbo,04,Punitaqui,04304,12165.0,952.0
Coquimbo,04,Rio Hurtado,04305,4372.0,235.0
Coquimbo,04,Salamanca,04204,29110.0,1784.0
Coquimbo,04,Vicuna,04106,29741.0,2010.0
Coquimbo,04,Desconocido Coquimbo,,,271.0
Valparaíso,05,Algarrobo,05602,15174.0,1147.0
Valparaíso,05,Cabildo,05402,20663.0,1530.0
Valparaíso,05,Calera,05502,53591.0,5066.0
Valparaíso,05,Calle Larga,05302,16482.0,1295.0
Valparaíso,05,Cartagena,05603,25357.0,2300.0
Valparaíso,05,Casablanca,05102,29170.0,2351.0
Valparaíso,05,Catemu,05702,15213.0,1218.0
Valparaíso,05,Concon,05103,45889.0,3469.0
Valparaíso,05,El Quisco,05604,17742.0,1387.0
Valparaíso,05,El Tabo,05605,14338.0,1383.0
Valparaíso,05,Hijuelas,05503,19099.0,1383.0
Valparaíso,05,Isla de Pascua,05201,8277.0,9.0
Valparaíso,05,Juan Fernandez,05104,1033.0,1.0
Valparaíso,05,La Cruz,05504,25321.0,1914.0
Valparaíso,05,La Ligua,05401,37739.0,3183.0
Valparaíso,05,Limache,05802,49931.0,4156.0
Valparaíso,05,Llaillay,05703,26533.0,2272.0
Valparaíso,05,Los Andes,05301,68093.0,5864.0
Valparaíso,05,Nogales,05506,23490.0,1903.0
Valparaíso,05,Olmue,05803,19266.0,1432.0
Valparaíso,05,Panquehue,05704,7633.0,548.0
Valparaíso,05,Papudo,05403,6201.0,517.0
Valparaíso,05,Petorca,05404,10558.0,728.0
Valparaíso,05,Puchuncavi,05105,20071.0,1458.0
Valparaíso,05,Putaendo,05705,17645.0,1202.0
Valparaíso,05,Quillota,05501,97572.0,8243.0
Valparaíso,05,Quilpue,05801,167085.0,13098.0
Valparaíso,05,Quintero,05107,36135.0,2806.0
Valparaíso,05,Rinconada,05303,11263.0,782.0
Valparaíso,05,San Antonio,05601,96761.0,8550.0
Valparaíso,05,San Esteban,05304,20643.0,1397.0
Valparaíso,05,San Felipe,05701,83494.0,6719.0
Valparaíso,05,Santa Maria,05706,16367.0,1346.0
Valparaíso,05,Santo Domingo,05606,11934.0,885.0
Valparaíso,05,Valparaiso,05101,315732.0,33212.0
Valparaíso,05,Villa Alemana,05804,139310.0,11564.0
Valparaíso,05,Vina del Mar,05109,361371.0,31646.0
Valparaíso,05,Zapallar,05405,7994.0,582.0
Valparaíso,05,Desconocido Valparaiso,,,1285.0
Metropolitana,13,Alhue,13502,7405.0,790.0
Metropolitana,13,Buin,13402,109641.0,10630.0
Metropolitana,13,Calera de Tango,13403,28525.0,2391.0
Metropolitana,13,Cerrillos,13102,88956.0,8339.0
