Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,31855.0
Arica y Parinacota,15,Camarones,15102,1233.0,74.0
Arica y Parinacota,15,General Lagos,15202,810.0,88.0
Arica y Parinacota,15,Putre,15201,2515.0,217.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,249.0
Tarapacá,01,Alto Hospicio,01107,129999.0,16869.0
Tarapacá,01,Camina,01402,1375.0,233.0
Tarapacá,01,Colchane,01403,1583.0,195.0
Tarapacá,01,Huara,01404,3000.0,496.0
Tarapacá,01,Iquique,01101,223463.0,32126.0
Tarapacá,01,Pica,01405,5958.0,1073.0
Tarapacá,01,Pozo Almonte,01401,17395.0,2512.0
Tarapacá,01,Desconocido Tarapaca,,,988.0
Antofagasta,02,Antofagasta,02101,425725.0,43109.0
Antofagasta,02,Calama,02201,190336.0,20124.0
Antofagasta,02,Maria Elena,02302,6814.0,761.0
Antofagasta,02,Mejillones,02102,14776.0,2063.0
Antofagasta,02,Ollague,02202,287.0,54.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,1242.0
Antofagasta,02,Sierra Gorda,02103,1746.0,194.0
Antofagasta,02,Taltal,02104,13657.0,1079.0
Antofagasta,02,Tocopilla,02301,28079.0,2635.0
Antofagasta,02,Desconocido Antofagasta,,,770.0
Atacama,03,Alto del Carmen,03302,5729.0,314.0
Atacama,03,Caldera,03102,19426.0,1944.0
Atacama,03,Chanaral,03201,13164.0,1181.0
Atacama,03,Copiapo,03101,171766.0,17843.0
Atacama,03,Diego de Almagro,03202,14358.0,1475.0
Atacama,03,Freirina,03303,7681.0,734.0
Atacama,03,Huasco,03304,11264.0,976.0
Atacama,03,Tierra Amarilla,03103,14312.0,1606.0
Atacama,03,Vallenar,03301,57009.0,5995.0
Atacama,03,Desconocido Atacama,,,106.0
Coquimbo,04,Andacollo,04103,11791.0,666.0
Coquimbo,04,Canela,04202,9546.0,537.0
Coquimbo,04,Combarbala,04302,13884.0,898.0
Coquimbo,04,Coquimbo,04102,256735.0,19725.0
Coquimbo,04,Illapel,04201,32801.0,2669.0
Coquimbo,04,La Higuera,04104,4450.0,421.0
Coquimbo,04,La Serena,04101,249656.0,18982.0
Coquimbo,04,Los Vilos,04203,23374.0,2262.0
Coquimbo,04,Monte Patria,04303,32527.0,2086.0
Coquimbo,04,Ovalle,04301,121269.0,9921.0
Coquimbo,04,Paiguano,04105,4675.0,401.0
Coquimbo,04,Punitaqui,04304,12165.0,1030.0
Coquimbo,04,Rio Hurtado,04305,4372.0,250.0
Coquimbo,04,Salamanca,04204,29110.0,2029.0
Coquimbo,04,Vicuna,04106,29741.0,2231.0
Coquimbo,04,Desconocido Coquimbo,,,269.0
Valparaíso,05,Algarrobo,05602,15174.0,1420.0
Valparaíso,05,Cabildo,05402,20663.0,1632.0
Valparaíso,05,Calera,05502,53591.0,5449.0
Valparaíso,05,Calle Larga,05302,16482.0,1426.0
Valparaíso,05,Cartagena,05603,25357.0,2894.0
Valparaíso,05,Casablanca,05102,29170.0,2493.0
Valparaíso,05,Catemu,05702,15213.0,1289.0
Valparaíso,05,Concon,05103,45889.0,3987.0
Valparaíso,05,El Quisco,05604,17742.0,1697.0
Valparaíso,05,El Tabo,05605,14338.0,1616.0
Valparaíso,05,Hijuelas,05503,19099.0,1536.0
Valparaíso,05,Isla de Pascua,05201,8277.0,9.0
Valparaíso,05,Juan Fernandez,05104,1033.0,1.0
Valparaíso,05,La Cruz,05504,25321.0,2063.0
Valparaíso,05,La Ligua,05401,37739.0,3670.0
Valparaíso,05,Limache,05802,49931.0,4559.0
Valparaíso,05,Llaillay,05703,26533.0,2497.0
Valparaíso,05,Los Andes,05301,68093.0,6384.0
Valparaíso,05,Nogales,05506,23490.0,1975.0
Valparaíso,05,Olmue,05803,19266.0,1659.0
Valparaíso,05,Panquehue,05704,7633.0,612.0
Valparaíso,05,Papudo,05403,6201.0,562.0
Valparaíso,05,Petorca,05404,10558.0,856.0
Valparaíso,05,Puchuncavi,05105,20071.0,1832.0
Valparaíso,05,Putaendo,05705,17645.0,1369.0
Valparaíso,05,Quillota,05501,97572.0,8951.0
Valparaíso,05,Quilpue,05801,167085.0,14573.0
Valparaíso,05,Quintero,05107,36135.0,3363.0
Valparaíso,05,Rinconada,05303,11263.0,827.0
Valparaíso,05,San Antonio,05601,96761.0,10024.0
Valparaíso,05,San Esteban,05304,20643.0,1527.0
Valparaíso,05,San Felipe,05701,83494.0,7295.0
Valparaíso,05,Santa Maria,05706,16367.0,1435.0
Valparaíso,05,Santo Domingo,05606,11934.0,1070.0
Valparaíso,05,Valparaiso,05101,315732.0,36358.0
Valparaíso,05,Villa Alemana,05804,139310.0,12735.0
Valparaíso,05,Vina del Mar,05109,361371.0,35366.0
Valparaíso,05,Zapallar,05405,7994.0,679.0
Valparaíso,05,Desconocido Valparaiso,,,1303.0
Metropolitana,13,Alhue,13502,7405.0,830.0
Metropolitana,13,Buin,13402,109641.0,11918.0
Metropolitana,13,Calera de Tango,13403,28525.0,2835.0
Metropolitana,13,Cerrillos,13102,88956.0,9247.0
Metropolitana,13,Cerro Navia,13103,142465.0,19743.0
Metropolitana,13,Colina,13301,180353.0,16826.0
Metropolitana,13,Conchali,13104,139195.0,15979.0
Metropolitana,13,Curacavi,13503,36430.0,4311.0
Metropolitana,13,El Bosque,13105,172000.0,23221.0
Metropolitana,13,El Monte,13602,40014.0,4397.0
Metropolitana,13,Estacion Central,13106,206792.0,20368.0
Metropolitana,13,Huechuraba,13107,112528.0,11142.0
Metropolitana,13,Independencia,13108,142065.0,15835.0
