Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,22415.0
Arica y Parinacota,15,Camarones,15102,1233.0,55.0
Arica y Parinacota,15,General Lagos,15202,810.0,77.0
Arica y Parinacota,15,Putre,15201,2515.0,166.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,124.0
Tarapacá,01,Alto Hospicio,01107,129999.0,12431.0
Tarapacá,01,Camina,01402,1375.0,154.0
Tarapacá,01,Colchane,01403,1583.0,137.0
Tarapacá,01,Huara,01404,3000.0,389.0
Tarapacá,01,Iquique,01101,223463.0,24314.0
Tarapacá,01,Pica,01405,5958.0,843.0
Tarapacá,01,Pozo Almonte,01401,17395.0,2002.0
Tarapacá,01,Desconocido Tarapaca,,,953.0
Antofagasta,02,Antofagasta,02101,425725.0,33267.0
Antofagasta,02,Calama,02201,190336.0,13859.0
Antofagasta,02,Maria Elena,02302,6814.0,582.0
Antofagasta,02,Mejillones,02102,14776.0,1723.0
Antofagasta,02,Ollague,02202,287.0,32.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,795.0
Antofagasta,02,Sierra Gorda,02103,1746.0,137.0
Antofagasta,02,Taltal,02104,13657.0,725.0
Antofagasta,02,Tocopilla,02301,28079.0,1556.0
Antofagasta,02,Desconocido Antofagasta,,,587.0
Atacama,03,Alto del Carmen,03302,5729.0,180.0
Atacama,03,Caldera,03102,19426.0,1121.0
Atacama,03,Chanaral,03201,13164.0,678.0
Atacama,03,Copiapo,03101,171766.0,10867.0
Atacama,03,Diego de Almagro,03202,14358.0,844.0
Atacama,03,Freirina,03303,7681.0,480.0
Atacama,03,Huasco,03304,11264.0,604.0
Atacama,03,Tierra Amarilla,03103,14312.0,955.0
Atacama,03,Vallenar,03301,57009.0,3483.0
Atacama,03,Desconocido Atacama,,,66.0
Coquimbo,04,Andacollo,04103,11791.0,435.0
Coquimbo,04,Canela,04202,9546.0,345.0
Coquimbo,04,Combarbala,04302,13884.0,425.0
Coquimbo,04,Coquimbo,04102,256735.0,11391.0
Coquimbo,04,Illapel,04201,32801.0,1496.0
Coquimbo,04,La Higuera,04104,4450.0,246.0
Coquimbo,04,La Serena,04101,249656.0,11581.0
Coquimbo,04,Los Vilos,04203,23374.0,1220.0
Coquimbo,04,Monte Patria,04303,32527.0,1335.0
